Man,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,W100
M1,0.556655428152028,0.4572170751465953,0.5474883090038147,0.5832236944728414,0.4462036599002078,0.4216642405699061,0.5890313387838069,0.5612418523156503,0.41917567937369077,0.562184377406748,0.41987132564397867,0.4196057720802911,0.525932713260952,0.25334621759842985,0.28872976771352193,0.4289413301503488,0.37460641330246985,0.5346501889015121,0.36880570854525313,0.31088627399817975,0.6016326598636639,0.4471658153752998,0.48085353587836266,0.30945695286269,0.4105720230054549,0.48583763222953175,0.3408992545821821,0.5162486231233,0.4041106996865953,0.4395948146939449,0.42418744475782216,0.6016326598636639,0.49512466102345376,0.3691939721584767,0.5675715758873949,0.3495203978212793,0.5219410599020236,0.26041897496580013,0.3205476733789401,0.5204935924460329,0.5579146926740743,0.49278016984580514,0.4138331902551471,0.4604397293375008,0.3032807201326544,0.4099402185378867,0.4201905009073013,0.6016326598636639,0.5381922845753351,0.24354194550084368,0.5103204507822229,0.4503120313438284,0.3953491198470961,0.5433520936837329,0.5915137947370825,0.5800604439343353,0.3767085394316555,0.4594618340206271,0.5367023062373283,0.5851445363757057,0.3762554357021253,0.47436219838898314,0.3633299814218773,0.3357062744129445,0.5664208254288883,0.6016326598636639,0.46482675125057715,0.5883590938835471,0.4631701696031138,0.3990017918846504,0.5146059082052513,0.6016326598636639,0.44318865396618384,0.6016326598636639,0.1808148703418041,0.5107480124765621,0.4830953903613923,0.438754805314673,0.4836367870493123,0.2570544204499778,0.44786694250948195,0.4858377082216694,0.6016326598636639,0.43424975530289034,0.359324304781697,0.4362412207046061,0.5782367635463778,0.5108564988620117,0.4122515041714793,0.5586517302095617,0.43582270426941633,0.5843520157401269,0.4120858016668921,0.43546363608224153,0.44946472107830554,0.3202545841073404,0.5324640917636814,0.5030812400030192,0.42631635664415046,0.4461538402078056
M2,0.3404985266748327,0.16146502857985787,0.3503631269682775,0.40755754587796367,0.1756463772335343,0.2927450347860735,0.4112285158540281,0.2149123744325446,0.2621129396449038,0.30914466940295166,0.16665835906810195,0.14991094588037224,0.32385315015635363,0.09883649523779234,0.19533806436632314,0.24417343791758422,0.2418654987105855,0.32857622443029877,0.14922812710893632,0.22655234172522482,0.36342746164537604,0.1759747898536973,0.32807848974062026,0.12897061066621926,0.2724737120179314,0.1891746447922653,0.12573253306232823,0.33259138536191357,0.2822378704346558,0.27309016266270303,0.2687281942658087,0.42907048764007727,0.3071615383924763,0.2389330716433395,0.3617881659725671,0.205446645898139,0.3216904971054699,0.1799994523167956,0.2323233628778653,0.3209062682087519,0.3562945245241102,0.30168233836583963,0.1622629977990133,0.2595325116339704,0.22200933397803446,0.26100913539957354,0.2779455053186686,0.3771153450850391,0.29744577892224566,0.19284716846403402,0.329218945976749,0.2828823333663214,0.158288192222498,0.208806061410909,0.22524509942909104,0.3873375206858893,0.2658698019771797,0.2878396397490767,0.3296880488844807,0.22307107986457625,0.1494365792501594,0.2959125648161859,0.23575599780537848,0.12413726468711701,0.2166801138196845,0.21419616859500368,0.1638026989037685,0.22416830508559782,0.3482562099132902,0.15953495911777002,0.19899412317735263,0.36768426997499964,0.3057025834268644,0.41027657333145084,0.12318339761293742,0.34185015080928566,0.31373105852271943,0.25965578848014975,0.3297410026694045,0.17817655753254985,0.29369017607556525,0.2684153865192107,0.36414755251534575,0.2741798917561621,0.2552168227336519,0.27525885536834954,0.19864192419477683,0.2965715053924444,0.2734291411291427,0.34158011075716643,0.16976868071668041,0.22280056872037796,0.2621715990412345,0.27086926210860135,0.2824232659158176,0.21241801450782105,0.3273918105497491,0.32510067846618296,0.32379642978325923,0.15806643504585363
M3,0.4327256547095547,0.2255677367505516,0.4462257018201088,0.5244982447283729,0.22042312757897178,0.36737334736669025,0.5295220942655136,0.2741600045188092,0.3636460830634559,0.43682516922135384,0.2081227134664522,0.20799866753985002,0.4099458805182268,0.1303351626492372,0.23406853516494033,0.3380303023019962,0.2977429403000532,0.4164095712211614,0.18426883742517056,0.2751234361525071,0.5193672592048142,0.22087257162252288,0.4140654855401267,0.15654572465989852,0.3396313401669639,0.23893703021407528,0.17123311727907162,0.42190445800023096,0.3513310105691808,0.38033798288425325,0.33450546941671416,0.5539394505183465,0.38710283179245475,0.29372981230921175,0.46186126334410915,0.27914257343639204,0.4069862149258849,0.21307711340234356,0.28302127844911024,0.40591297052304914,0.45434302477828054,0.42381507465159113,0.22678112398379124,0.3613852181489694,0.26890617272710127,0.32394167004893204,0.3471196787860415,0.48283703873642536,0.419035906162583,0.23065965786347115,0.41728915791478666,0.35387589893054205,0.19666785028117537,0.2658033036884015,0.28830069649661516,0.49516352151615434,0.32893074206245365,0.36066014438579064,0.4179311414889499,0.2853254754367493,0.20727734847244994,0.3717082219037789,0.28938187674058224,0.16880736170654334,0.2765792170865428,0.30575039361577677,0.22912238429642875,0.28682706614838943,0.3975114549118606,0.19837409395262312,0.2523753264304804,0.5258401365508607,0.3465955812588479,0.5282193279578028,0.15405356895106181,0.48489401057549614,0.39609344759175397,0.36157267218568834,0.4163406920556311,0.21058241876365102,0.3686668059513981,0.37821830173970805,0.5204622250849751,0.341966306223368,0.31601468957908335,0.3434429052909231,0.2820987023915208,0.41770649104987606,0.34093887799196,0.4342058399812512,0.2381942206426844,0.2849552715681715,0.3255325417984096,0.3769608947535932,0.3532476492271211,0.2574430384085601,0.41478865980963264,0.4116531662118638,0.4082053382016677,0.22039985570183615
M4,0.3971096143888585,0.3635466694895934,0.40920573379201214,0.479338379793421,0.3554798708298062,0.3385535733308329,0.4838397777046344,0.4397398315813651,0.2557586063824992,0.4007828028320985,0.320183522303953,0.33599819316499185,0.3766988064606578,0.21422104036845008,0.21911169937272343,0.3122620371718833,0.2761643304585044,0.38249031028930935,0.298789582096235,0.19532676044191333,0.47474098742578263,0.35618460358738785,0.29017847145896586,0.2553194638731731,0.3136965762534898,0.384509855418202,0.2783494424671991,0.38741376026264124,0.24735146324239574,0.2671536827118464,0.3091037667519821,0.5057178685234955,0.35623130418779686,0.2725685448319931,0.4232152863202997,0.2594982953933813,0.3740469291668085,0.20030326544630978,0.20071838852338603,0.3730852960451494,0.416478901576682,0.2968342334331953,0.3654492728128881,0.3331881753121522,0.19108241485796207,0.29963854211556185,0.32040617047385334,0.4420097010094774,0.3848435214139783,0.21605732581894269,0.38327842499619796,0.326459782354806,0.31823135832328875,0.4063204200564082,0.43991674104690526,0.34554175065595555,0.23205944902158215,0.33253850507443516,0.38385364594945454,0.43547371591074596,0.3189211025233703,0.34243764570250057,0.268672769701383,0.2745458334565202,0.4224125534238613,0.48927387778983866,0.3691203924105692,0.45960191096757436,0.30902968683759746,0.32090676547338687,0.3862678460512327,0.4805407225391909,0.35444231193845116,0.482672491643821,0.1474178321264591,0.3385310531146209,0.36428694735152944,0.3333561352008982,0.29173168901883273,0.19806800478559394,0.33971251961861504,0.38592468790158524,0.47572208311532654,0.315788719191161,0.29253592228879133,0.3171117603987557,0.4521877892831509,0.3836523578715127,0.3148681376210741,0.39843586885586946,0.38334512257745007,0.4349208746056806,0.3010639722995603,0.26484824250234684,0.32589686702826354,0.2400553879323867,0.3810379643963489,0.3782285442042679,0.2861779186794818,0.35544338029359096
M5,0.45166287006924677,0.37380185401029026,0.44355383484648664,0.5212388915176582,0.36529186144253445,0.3835579844167388,0.5262250338033077,0.4541811061102684,0.3444075210034906,0.4559350523135874,0.3449450422407725,0.34473985077175356,0.4279236330083271,0.2162722009731918,0.24463849769840945,0.35297903762694993,0.3109948094651404,0.434659568342745,0.30548698020860077,0.2607330191077612,0.5419537382392403,0.36603531256635763,0.3920655897049353,0.259628592191329,0.33775953306230877,0.39591676774158846,0.28392384919925706,0.4194151377471096,0.33276691159192523,0.36018525079283653,0.3493057420639197,0.5779820780469216,0.4041184563485127,0.3068126522615512,0.4590720413330338,0.2916110124754131,0.42483930905816253,0.22276293680466977,0.2681983180259474,0.423720860600806,0.4516102320273326,0.4012812202927834,0.37580898730113815,0.37731764077430663,0.25485625831909314,0.33829700530693985,0.34519166683976577,0.5038848989126029,0.43739652206546975,0.22960575396225688,0.41483447848435356,0.36949203602532565,0.3259968972368963,0.4403578088322964,0.47757203428783107,0.46872210644739576,0.3115934449702537,0.37656202757962853,0.4362452257328709,0.472650550796576,0.34354667560570484,0.3880754398313964,0.3022815856968705,0.27991126802837896,0.4581828641223183,0.5064365773155097,0.3796818000251432,0.475134417961153,0.37635044373278403,0.32881929257899806,0.418145822876945,0.5486992471496207,0.36183395676820845,0.5511786478824077,0.16125337564149886,0.4590150287372506,0.39379785572430936,0.35953618114327496,0.39421618933721086,0.22016316795160223,0.3665770688306462,0.394788596779176,0.5430948230623134,0.3570808223671045,0.33003614780367896,0.3586196144119338,0.46731296076458206,0.41524867926339526,0.3390572569672746,0.4532053993657954,0.3946880439025232,0.4720381753828021,0.33995488309260924,0.3569931166096458,0.368837325029611,0.2689975132453137,0.4329703856524407,0.40924078855718515,0.3865263867247713,0.3652533660982124
M6,0.39972631130868325,0.3484178015579335,0.4325218555831803,0.5067890707670494,0.34066962454037514,0.34067095115471896,0.5115558421119321,0.42160149341793846,0.3216548527496478,0.40343082176583595,0.32214425502162364,0.3219574323173976,0.3791414563312295,0.20499022185937033,0.22021057240283612,0.31415522179847444,0.2777497027064595,0.38498234547356686,0.286218483411263,0.24547090224884277,0.4780196626197682,0.34134652183087466,0.365046565453708,0.24446534376176543,0.33138209315640665,0.3685529855729432,0.2665856864630919,0.40944516762598476,0.311056312081727,0.33602015828543086,0.31097002017382824,0.5092606897899483,0.35849942356507786,0.2741232550953642,0.447357321112702,0.26094155302068855,0.3764669659482954,0.2012417551913767,0.25226790671700855,0.3754971327883096,0.4402238025041849,0.37343721169159316,0.35024525603706524,0.3352598013119799,0.24012022978727413,0.30142408367023044,0.3384872418449386,0.44500926996528495,0.38735562290104747,0.22798666127339257,0.40506603962211307,0.3284740339996077,0.3048923502196536,0.4090156593618808,0.4428984629137111,0.4348407816696494,0.29177829671874345,0.33460459120596076,0.38635730657008005,0.4384175512118938,0.3208710703346,0.3445881437898153,0.2701942599095548,0.2629323120374684,0.42524501357520356,0.46917904860502857,0.35377137410385884,0.4406790622914879,0.38881151979082446,0.30746208439392253,0.3887920930398991,0.4838688532366768,0.3566951762203322,0.48601880036363965,0.14790535718408362,0.42600268271450153,0.38495494675292474,0.3522006530997719,0.36700464315026243,0.19898743401509097,0.35893176901022084,0.3884460087119454,0.47900912430885506,0.3177119765420298,0.2942608983809284,0.3190462995871212,0.4335577828765203,0.4054620171717804,0.33262272223784384,0.4010638750132978,0.3674342572385797,0.43785999571823825,0.3028616687830447,0.33311378433524974,0.3279063185812752,0.2413328519916789,0.3835176151361467,0.399718450377874,0.36000323258534395,0.34063457530387065
M7,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.39429200756665445,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639
M8,0.6016326598636639,0.4542725133377282,0.6016326598636639,0.6016326598636639,0.44226411220323875,0.6016326598636639,0.6016326598636639,0.5676952095882527,0.6016326598636639,0.6016326598636639,0.4135528336867966,0.4132632891954547,0.6016326598636639,0.23198333397769516,0.4259539603162125,0.6016326598636639,0.5745809547799393,0.6016326598636639,0.3578737913022932,0.5157630388235497,0.6016326598636639,0.4433131917703093,0.6016326598636639,0.293163286057083,0.6016326598636639,0.48547873978571315,0.3274461822516272,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.5652136249963102,0.6016326598636639,0.5311645048421263,0.6016326598636639,0.37695637770079554,0.5341979588012365,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.4571047674783737,0.6016326598636639,0.5012508784861811,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.4179970553912604,0.6016326598636639,0.6016326598636639,0.3868152162154077,0.548189235006778,0.6007020126174919,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.5937573358191026,0.4115796066418514,0.6016326598636639,0.5550647968397517,0.3217840522437615,0.5733420670994955,0.6016326598636639,0.4625696710418407,0.5972623063627953,0.6016326598636639,0.39079788190614995,0.5168460305066777,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.23918529062466917,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.3711333320756833,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.5862254934954684,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.4837448947058816,0.5928932164259367,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.4805140642827916,0.6016326598636639,0.6016326598636639,0.6016326598636639,0.44220979164622903
M9,0.3674611341949189,0.3069046705691556,0.3602006591449059,0.4195581403693638,0.30040236825123384,0.31542365562907326,0.4233679444653521,0.36832072858345,0.28444509282897423,0.3707254167766939,0.28485580124725807,0.28469901885831983,0.3493224936569967,0.18653965027928993,0.20927826322113335,0.29205893997183224,0.2599796940830567,0.3544692769931315,0.2547067445742097,0.22051120530843213,0.4364504449040047,0.3009704232674055,0.32085959826100413,0.21966733645173048,0.27936550820474676,0.32380220058116843,0.23823081987423303,0.3417567997817852,0.2755507535030347,0.2965005168688876,0.28925225382449016,0.46397892457976747,0.33113347008955696,0.25678419769897676,0.3720577870100684,0.24516895164198946,0.3469658280535078,0.1925636175651369,0.22621527967432808,0.34611124563891194,0.3663563789820299,0.3279010634156884,0.3084382779543028,0.3106555432473353,0.2160208987665893,0.28084071480581657,0.2850442417998112,0.40736286342572103,0.35656052447585534,0.19672753138689866,0.3382568165438818,0.30467616694432437,0.2703779311201032,0.35775864439639155,0.386193233793806,0.37943119424416655,0.2593725629821421,0.31007819545436266,0.3556808437061638,0.3824328340921597,0.2837873393725725,0.31887534616581165,0.2533221071752067,0.2351648928901005,0.3713783858246684,0.4082480104038075,0.3113974108738296,0.3843307035783016,0.30672292193594214,0.2725344627068141,0.3407869435854689,0.44160454320365744,0.2965892684713598,0.44349899998531706,0.14556548461246516,0.37201422491165764,0.3221831854749003,0.29600457670757324,0.3225028251924649,0.1905771900912267,0.30138436757875303,0.32176920023081834,0.43732232327886095,0.295193025484971,0.2745287712331515,0.2963687833954779,0.3783544963308962,0.33857329845196854,0.28035707113363284,0.36863974765909674,0.3228633591188254,0.3819649312073196,0.28210746357002053,0.29406147578474806,0.30417591635172864,0.2278904631721724,0.3531786088244923,0.3339827983600146,0.3166272123816288,0.30037295478646037
M10,0.5764515383391434,0.49584398937936836,0.5956170313690446,0.6016326598636639,0.483671319361746,0.4836734035214924,0.6016326598636639,0.6016326598636639,0.36303873288325084,0.5822714600148567,0.47729564925726714,0.45427377969267885,0.5441119768612207,0.27051400593417513,0.2944257343702058,0.4420162210644167,0.38482181653247177,0.5532882277364998,0.39812658134844997,0.2672885105552209,0.6016326598636639,0.4847347498092436,0.41757470944125125,0.3325308689632929,0.444289152394979,0.5274771012976163,0.367282737921602,0.5610891052743288,0.34971817627473845,0.3810934700007067,0.4370121525940462,0.6016326598636639,0.5116825869820392,0.3791245344484379,0.6016326598636639,0.3584155974608058,0.539910254466006,0.2646250274405059,0.2758311850255426,0.5383866110332475,0.6016326598636639,0.42812031960549257,0.4987149873310526,0.47517228883318485,0.2605636285501291,0.42201513654702644,0.45492005615658676,0.6016326598636639,0.5570167335410944,0.2895862835426587,0.5545369428341448,0.4645115997288069,0.42746391038681036,0.6016326598636639,0.6016326598636639,0.5052941264044915,0.32548900142997433,0.4741429297472078,0.5554483420029904,0.6016326598636639,0.475195418469679,0.48982745669224903,0.3729519390380202,0.3615431528252422,0.6016326598636639,0.6016326598636639,0.5042546480245277,0.6016326598636639,0.4474432007236813,0.43150105693954105,0.5872371548053782,0.6016326598636639,0.5088480482888742,0.6016326598636639,0.18083159172006769,0.4941861445480821,0.5244462153623638,0.4754384100551881,0.4200356788914856,0.2610834062655535,0.4855096764831107,0.5587297696059493,0.6016326598636639,0.44760401309973047,0.4107615099708439,0.44970028349830277,0.6016326598636639,0.5551294144919251,0.44614541310770683,0.578552899932577,0.5257195380898175,0.6016326598636639,0.4242736354379113,0.37744065401953364,0.46361969800332786,0.3276096096059278,0.5509870827030534,0.5465357441113268,0.41123610084658374,0.4836162557268584
